gameID,title,release_date,scores,store_id,store_name
210040,"One Punch Man: A Hero Nobody Knows Deluxe Edition",2020-02-27,2.20,2,GamersGate
198716,"ONE PIECE World Seeker Deluxe Edition",2019-03-14,2.79,2,GamersGate
157072,"ONE PIECE BURNING BLOOD GOLD EDITION",2016-04-21,3.11,2,GamersGate
202932,"CODE VEIN Deluxe Edition",2019-09-26,3.54,2,GamersGate
171780,"Ni no Kuni II: Revenant Kingdom - The Prince's Edition",2018-03-23,3.89,2,GamersGate
174472,"Dragon Ball Fighter Z  FighterZ Edition",2021-09-09,0.00,2,GamersGate
191458,"SOULCALIBUR VI Deluxe Edition",2018-10-19,3.71,2,GamersGate
227495,"SCARLET NEXUS Deluxe Edition",2021-06-25,3.64,2,GamersGate
